"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Bernardelli L.V.; Plassa W.; Paschoalino P.A.T.","Bernardelli, Luan Vinicius (57195606432); Plassa, Wander (57226300357); Paschoalino, Pietro Andre Telatin (57195609320)","57195606432; 57226300357; 57195609320","Who is saving and how much? New evidence from Brazil","2022","Management Research","20","3","","212","228","16","0","10.1108/MRJIAM-12-2021-1254","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125962759&doi=10.1108%2fMRJIAM-12-2021-1254&partnerID=40&md5=fa03b3994d4ee1fe93c405b147161709","Article","Final","","Scopus","2-s2.0-85125962759"
"Portugal M.A.","Portugal, Marco Antonio (58899605700)","58899605700","Challenges and political implications of sustainable maintenance in residential condominiums in Brazil: A life cycle perspective","2025","Journal of Environmental Management","380","","125107","","","","0","10.1016/j.jenvman.2025.125107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000506697&doi=10.1016%2fj.jenvman.2025.125107&partnerID=40&md5=7b8d15e331812cacc5f57921a5ed49c7","Article","Final","","Scopus","2-s2.0-105000506697"
"Barros M.V.; Salvador R.; Maciel A.M.; Ferreira M.B.; Paula V.R.D.; de Francisco A.C.; Rocha C.H.B.; Piekarski C.M.","Barros, Murillo Vetroni (57202866840); Salvador, Rodrigo (57189687832); Maciel, Alyne Martins (57211889788); Ferreira, Mariane Bigarelli (57213171683); Paula, Vanessa Romário de (57211883708); de Francisco, Antonio Carlos (55908874100); Rocha, Cézar Henrique Barra (56116991300); Piekarski, Cassiano Moro (55631313000)","57202866840; 57189687832; 57211889788; 57213171683; 57211883708; 55908874100; 56116991300; 55631313000","An analysis of Brazilian raw cow milk production systems and environmental product declarations of whole milk","2022","Journal of Cleaner Production","367","","133067","","","","16","10.1016/j.jclepro.2022.133067","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134314820&doi=10.1016%2fj.jclepro.2022.133067&partnerID=40&md5=51d0456803a6388c3e79a1281aa2f236","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85134314820"
"Roy A.; Delord K.; Nunes G.T.; Barbraud C.; Bugoni L.; Lanco-Bertrand S.","Roy, Amédée (57218219999); Delord, Karine (6506656820); Nunes, Guilherme T. (55922886700); Barbraud, Christophe (35616520600); Bugoni, Leandro (8606809300); Lanco-Bertrand, Sophie (57223888217)","57218219999; 6506656820; 55922886700; 35616520600; 8606809300; 57223888217","Did the animal move? A cross-wavelet approach to geolocation data reveals year-round whereabouts of a resident seabird","2021","Marine Biology","168","7","114","","","","8","10.1007/s00227-021-03923-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109778052&doi=10.1007%2fs00227-021-03923-x&partnerID=40&md5=987087897651cb3e752fa96a52a63ed5","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85109778052"
"Colvero D.A.; Ramalho J.; Gomes A.P.D.; da Cruz Tarelho L.A.; de Matos M.A.A.","Colvero, Diogo Appel (57196148370); Ramalho, José (57211147508); Gomes, Ana Paula Duarte (57198596954); da Cruz Tarelho, Luís António (57562824800); de Matos, Manuel Arlindo Amador (57675273900)","57196148370; 57211147508; 57198596954; 57562824800; 57675273900","LIFE CYCLE ASSESSMENT OF SHARED MUNICIPAL SOLID WASTE MANAGEMENT FACILITIES IN A METROPOLITAN REGION","2022","Journal of Solid Waste Technology and Management","48","3","","329","352","23","2","10.5276/JSWTM/2022.329","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147735427&doi=10.5276%2fJSWTM%2f2022.329&partnerID=40&md5=9647b3b619f1eca76d9ac7542e85dbcb","Article","Final","","Scopus","2-s2.0-85147735427"
"Barbieri A.F.; Guedes G.R.; Onofre dos Santos R.","Barbieri, Alisson Flávio (11940724400); Guedes, Gilvan Ramalho (34771495900); Onofre dos Santos, Reinaldo (57195637901)","11940724400; 34771495900; 57195637901","Land use systems and livelihoods in demographically heterogeneous frontier stages in the amazon","2021","Environmental Development","38","","100587","","","","10","10.1016/j.envdev.2020.100587","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096578551&doi=10.1016%2fj.envdev.2020.100587&partnerID=40&md5=a2b0191f7a15a0ecac7cce6998e4fb2e","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85096578551"
"Pereira M.T.R.M.; Carvalho M.; Mady C.E.K.","Pereira, Marina Torelli Reis Martins (57217678160); Carvalho, Monica (26655308900); Mady, Carlos Eduardo Keutenedjian (57202939950)","57217678160; 26655308900; 57202939950","Adressing Energy Demand and Climate Change through the Second Law of Thermodynamics and LCA towards a Rational Use of Energy in Brazilian Households","2022","Entropy","24","11","1524","","","","7","10.3390/e24111524","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141769457&doi=10.3390%2fe24111524&partnerID=40&md5=7aa8e8a18c9750588105c3ab19a8f55c","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85141769457"
"Soares N.M.; Barreto N.M.P.V.; Farias M.M.B.; de Lima Oliveira C.; Araújo W.A.C.; de Souza J.N.; Teixeira M.C.A.; Gonçalves N.L.S.; Sampaio D.D.; Pavan T.B.S.; Celedon P.A.F.; Zanchin N.I.T.; Santos F.L.N.","Soares, Neci Matos (6603685296); Barreto, Nilo Manoel Pereira Vieira (57203403151); Farias, Marina Morena Brito (57462972300); de Lima Oliveira, Cíntia (57462810200); Araújo, Weslei Almeida Costa (57203401635); de Souza, Joelma Nascimento (56299985000); Teixeira, Márcia Cristina Aquino (15766449900); Gonçalves, Noilson Lázaro Sousa (57204802267); Sampaio, Daniel Dias (57909520100); Pavan, Tycha Bianca Sabaini (55017479800); Celedon, Paola Alejandra Fiorani (17134073400); Zanchin, Nilson Ivo Tonin (6603011567); Santos, Fred Luciano Neves (36708625900)","6603685296; 57203403151; 57462972300; 57462810200; 57203401635; 56299985000; 15766449900; 57204802267; 57909520100; 55017479800; 17134073400; 6603011567; 36708625900","Seroepidemiological Survey of Chronic Chagas Disease in a Rural Community in Southern Bahia, Brazil, Using Recombinant Chimeric Antigens","2023","Pathogens","12","10","1222","","","","2","10.3390/pathogens12101222","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175043858&doi=10.3390%2fpathogens12101222&partnerID=40&md5=2610cf8bf03c17d339a4002a04a063f0","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85175043858"
"Francischetti I.; Holzhausen Y.; Peters H.","Francischetti, Ieda (8618769800); Holzhausen, Ylva (56127053400); Peters, Harm (7202544569)","8618769800; 56127053400; 7202544569","Entrustable professional activities for Junior Brazilian Medical Students in community medicine","2022","BMC Medical Education","22","1","737","","","","5","10.1186/s12909-022-03762-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140593063&doi=10.1186%2fs12909-022-03762-4&partnerID=40&md5=5452f1927ed25ad0f1bd2c9917e024db","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85140593063"
"Salvi Malacarne C.; Domingos Biehl A.K.; Maurente G. Silva D.; Lopes dos Santos I.; de Godoy L.G.; Borges Masuero A.; Garcez M.R.","Salvi Malacarne, Camila (57216500679); Domingos Biehl, Anne Ketlelyn (57388824900); Maurente G. Silva, Deividi (57388588000); Lopes dos Santos, Iago (57388665300); de Godoy, Luis Gabriel (57388665400); Borges Masuero, Angela (12783310400); Garcez, Mônica Regina (16063403900)","57216500679; 57388824900; 57388588000; 57388665300; 57388665400; 12783310400; 16063403900","Sustainability Potential of Intervention Strategies for Mortar Coating Repair: A Case Study in a Centenary Building","2022","Lecture Notes in Civil Engineering","209 LNCE","","","1093","1110","17","1","10.1007/978-3-030-90788-4_84","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121905006&doi=10.1007%2f978-3-030-90788-4_84&partnerID=40&md5=199582bf250012a358278c7735cd5612","Conference paper","Final","","Scopus","2-s2.0-85121905006"
"de Simone Souza H.H.; de Abreu Evangelista P.P.; Medeiros D.L.; Albertí J.; Fullana-i-Palmer P.; Boncz M.Á.; Kiperstok A.; Gonçalves J.P.","de Simone Souza, Hugo Henrique (57193580272); de Abreu Evangelista, Patrícia Pereira (57221734257); Medeiros, Diego Lima (56338829900); Albertí, Jaume (57193824989); Fullana-i-Palmer, Pere (57219600552); Boncz, Marc Árpád (6506034043); Kiperstok, Asher (6602363822); Gonçalves, Jardel Pereira (57225192204)","57193580272; 57221734257; 56338829900; 57193824989; 57219600552; 6506034043; 6602363822; 57225192204","Functional unit influence on building life cycle assessment","2021","International Journal of Life Cycle Assessment","26","3","","435","454","19","25","10.1007/s11367-020-01854-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099905507&doi=10.1007%2fs11367-020-01854-1&partnerID=40&md5=1464b9da7df58f5297877e2b6862e142","Article","Final","","Scopus","2-s2.0-85099905507"
"Mesquita S.G.; Caldeira R.L.; Favre T.C.; Massara C.L.; Beck L.C.N.H.; Simões T.C.; de Carvalho G.B.F.; dos Santos Neves F.G.; de Oliveira G.; de Souza Barbosa Lacerda L.; de Almeida M.A.; dos Santos Carvalho O.; Moraes Mourão M.; Oliveira E.; Silva-Pereira R.A.; Fonseca C.T.","Mesquita, Silvia Gonçalves (56465660400); Caldeira, Roberta Lima (7003731167); Favre, Tereza Cristina (6602746883); Massara, Cristiano Lara (7004242338); Beck, Lílian Christina Nóbrega Holsbach (56681764700); Simões, Taynãna César (8687430600); de Carvalho, Gardênia Braz Figueiredo (58038185100); dos Santos Neves, Flória Gabriela (58037554900); de Oliveira, Gabriela (58038425700); de Souza Barbosa Lacerda, Larisse (57225169271); de Almeida, Matheus Alves (58037679700); dos Santos Carvalho, Omar (35496464400); Moraes Mourão, Marina (36790920400); Oliveira, Edward (26326423400); Silva-Pereira, Rosiane A. (48663006400); Fonseca, Cristina Toscano (7004665970)","56465660400; 7003731167; 6602746883; 7004242338; 56681764700; 8687430600; 58038185100; 58037554900; 58038425700; 57225169271; 58037679700; 35496464400; 36790920400; 26326423400; 48663006400; 7004665970","Assessment of the accuracy of 11 different diagnostic tests for the detection of Schistosomiasis mansoni in individuals from a Brazilian area of low endemicity using latent class analysis","2022","Frontiers in Microbiology","13","","1048457","","","","8","10.3389/fmicb.2022.1048457","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145308127&doi=10.3389%2ffmicb.2022.1048457&partnerID=40&md5=c1809a13f82e034b1a09b2e182689e89","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85145308127"
"Azevedo R.; Bettoni L.; Santos M.","Azevedo, Rafael (59207218900); Bettoni, Luis (57215108040); Santos, Marcelo (57202376254)","59207218900; 57215108040; 57202376254","Severance savings accounts and life-cycle savings","2024","Economic Theory","78","4","","1275","1331","56","1","10.1007/s00199-024-01590-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197723336&doi=10.1007%2fs00199-024-01590-9&partnerID=40&md5=bf0bf22149391cf156343bcfec9100c7","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85197723336"
"Caetano I.T.; Miranda V.P.N.; dos Santos F.K.; dos Santos Amorim P.R.","Caetano, Isabella Toledo (57193069378); Miranda, Valter Paulo Neves (54380685000); dos Santos, Fernanda Karina (55552728800); dos Santos Amorim, Paulo Roberto (57217245461)","57193069378; 54380685000; 55552728800; 57217245461","Adolescent’s movement behaviors and built environment: a latent class analysis","2021","BMC Public Health","21","1","1937","","","","8","10.1186/s12889-021-11974-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118150831&doi=10.1186%2fs12889-021-11974-4&partnerID=40&md5=cd4c543a8de7445a9147ec0a54a305fa","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85118150831"
"Correia I.B.; Miyasaka E.L.; Córdoba R.E.; Cramolichi S.C.; Neto J.C.M.","Correia, Isadora Bruna (59504468400); Miyasaka, Elza Luli (58613281300); Córdoba, Rodrigo Eduardo (57210205308); Cramolichi, Stanley Cabral (59504677900); Neto, José da Costa Marques (59505751100)","59504468400; 58613281300; 57210205308; 59504677900; 59505751100","Qualitative and quantitative analysis of construction and demolition waste: case studies in commercial buildings in the San Francisco region – United States; [Análise quantitativa e qualitativa dos resíduos de construção e demolição: estudos de caso em edifícios comerciais na região de São Francisco – Estados Unidos]","2024","Engenharia Sanitaria e Ambiental","29","","e20230141","","","","0","10.1590/S1413-415220230141","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214386504&doi=10.1590%2fS1413-415220230141&partnerID=40&md5=21b618a2ae5662c43d995196d1736c28","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85214386504"
"Triana M.A.; e Silva Machado R.M.; Martins Kamimura A.; Körbes Bracht M.; Melo A.P.; Lamberts R.","Triana, Maria Andrea (55351578200); e Silva Machado, Rayner Mauricio (58059187300); Martins Kamimura, Artur (58479182100); Körbes Bracht, Matheus (57219266406); Melo, Ana Paula (25031593600); Lamberts, Roberto (56238426700)","55351578200; 58059187300; 58479182100; 57219266406; 25031593600; 56238426700","Energy efficiency strategies for Brazilian social housing considering a life cycle perspective: Optimisation between thermal autonomy, energy consumption and costs","2023","Energy and Buildings","295","","113254","","","","9","10.1016/j.enbuild.2023.113254","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164302032&doi=10.1016%2fj.enbuild.2023.113254&partnerID=40&md5=ab9a481fc4d68e95220b553acc8e5d87","Article","Final","","Scopus","2-s2.0-85164302032"
"Silva M.A.M.; da Silva Etges B.M.B.; del Carlo Pereira M.","Silva, Matheus Almeida Miranda (57203989539); da Silva Etges, Bernardo Martim Beck (55612158300); del Carlo Pereira, Mariana (58569119100)","57203989539; 55612158300; 58569119100","USING PULL PLANNING AS A METHOD FOR THE CERTIFICATE OF OCCUPANCY PROCESS","2022","30th Annual Conference of the International Group for Lean Construction, IGLC 2022","","","","366","375","9","0","10.24928/2022/0138","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170369980&doi=10.24928%2f2022%2f0138&partnerID=40&md5=eaf7e4678954125cdce86c95555e18d2","Conference paper","Final","","Scopus","2-s2.0-85170369980"
"Martins Vaz I.C.; Antunes L.N.; Ghisi E.; Thives L.P.","Martins Vaz, Igor Catão (57212496392); Antunes, Lucas Niehuns (57189094791); Ghisi, Enedir (8859872400); Thives, Liseane Padilha (55766392100)","57212496392; 57189094791; 8859872400; 55766392100","Permeable Pavements as a Means to Save Water in Buildings: State of the Art in Brazil","2021","Sci","3","4","36","","","","6","10.3390/sci3040036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140850215&doi=10.3390%2fsci3040036&partnerID=40&md5=f69bfe2e466629bd7747a40297f20b56","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85140850215"
"Sanchez Leitner D.; De Paula Lacerda Santos A.; Canciglieri Junior O.","Sanchez Leitner, Drielle (57212447080); De Paula Lacerda Santos, Adriana (57193951320); Canciglieri Junior, Osiris (6503974171)","57212447080; 57193951320; 6503974171","Enhancing Healthcare Infrastructure: A Comprehensive Approach for Building Performance Evaluation","2025","Journal of Performance of Constructed Facilities","39","2","04025002","","","","0","10.1061/JPCFEV.CFENG-4883","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218335999&doi=10.1061%2fJPCFEV.CFENG-4883&partnerID=40&md5=e09c76683f45f596bc9e2b7ea4833a5f","Article","Final","","Scopus","2-s2.0-85218335999"
"Maués L.M.; Beltrão N.; Silva I.","Maués, Luiz Maurício (57201255131); Beltrão, Norma (56656398100); Silva, Isabela (57222051879)","57201255131; 56656398100; 57222051879","Ghg emissions assessment of civil construction waste disposal and transportation process in the eastern amazon","2021","Sustainability (Switzerland)","13","10","5666","","","","16","10.3390/su13105666","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106950917&doi=10.3390%2fsu13105666&partnerID=40&md5=e9139f4c947d8ac8a182ea31c6457bfa","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85106950917"
"Mota B.D.L.; Valente V.D.C.; Ramos F.L.D.P.; Valente S.A.D.S.; Pinto A.Y.D.N.","Mota, Bruna Daniele Lisboa (57434289400); Valente, Vera Da Costa (7006378348); Ramos, Francisco Luzio De Paula (57208010715); Valente, Sebastião Aldo Da Silva (57198189494); Pinto, Ana Yecê Das Neves (7402306300)","57434289400; 7006378348; 57208010715; 57198189494; 7402306300","Triatomine home invasions in active foci of Chagas disease in Abaetetuba, Pará, Brazil","2022","Transactions of the Royal Society of Tropical Medicine and Hygiene","116","1","","54","62","8","1","10.1093/trstmh/trab057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123813274&doi=10.1093%2ftrstmh%2ftrab057&partnerID=40&md5=3e23f7d785808543bd68f05182c0bf05","Article","Final","","Scopus","2-s2.0-85123813274"
"de Lima A.J.T.B.; Gallo W.L.R.","de Lima, Alessandro J.T.B. (59542585400); Gallo, Waldyr L.R. (7004297662)","59542585400; 7004297662","Investigations on energy efficiency enhancement under knock threshold limit conditions for a turbocharged direct-injection spark-ignition engine fueled with wet ethanol","2023","Applied Thermal Engineering","232","","121003","","","","5","10.1016/j.applthermaleng.2023.121003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165253026&doi=10.1016%2fj.applthermaleng.2023.121003&partnerID=40&md5=dc839cf5540afbd42b82d6c67da390cc","Article","Final","","Scopus","2-s2.0-85165253026"
"Belizario-Silva F.; John V.M.","Belizario-Silva, Fernanda (57213015757); John, Vanderley M. (7102963656)","57213015757; 7102963656","Actual sources of life cycle impacts: Elementary processes and flows causing environmental impacts for a typical Brazilian building","2024","Building and Environment","249","","111151","","","","0","10.1016/j.buildenv.2023.111151","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181587785&doi=10.1016%2fj.buildenv.2023.111151&partnerID=40&md5=311ae3da3dcb7411722adb398027eea5","Article","Final","","Scopus","2-s2.0-85181587785"
"Couto M.H.G.; Oliva F.L.; Del Giudice M.; Kotabe M.; Chin T.; Kelle P.","Couto, Marcelo Henrique Gomes (57204951952); Oliva, Fábio Lotti (37013807000); Del Giudice, Manlio (54412034700); Kotabe, Masaaki (6701780100); Chin, Tachia (56022790900); Kelle, Peter (6701858280)","57204951952; 37013807000; 54412034700; 6701780100; 56022790900; 6701858280","Life cycle analysis of Brazilian startups: characteristics, intellectual capital, agents and associated risks","2022","Journal of Intellectual Capital","23","6","","1348","1378","30","7","10.1108/JIC-01-2021-0005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114030969&doi=10.1108%2fJIC-01-2021-0005&partnerID=40&md5=61dd411cfb14a3ad00949eec1c13f969","Article","Final","","Scopus","2-s2.0-85114030969"
"Haddad A.N.; Silva A.B.; Hammad A.W.A.; Najjar M.K.; Vazquez E.G.; Tam V.W.Y.","Haddad, Assed N. (23012063300); Silva, Arthur B. (57226533682); Hammad, Ahmed W. A. (56430620200); Najjar, Mohammad K. (57196401656); Vazquez, Elaine G. (54796275200); Tam, Vivian W. Y. (7005091994)","23012063300; 57226533682; 56430620200; 57196401656; 54796275200; 7005091994","An integrated approach of building information modelling and life cycle assessment (BIM-LCA) for gas and solar water heating systems","2023","International Journal of Construction Management","23","14","","2452","2468","16","7","10.1080/15623599.2022.2068179","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128850882&doi=10.1080%2f15623599.2022.2068179&partnerID=40&md5=1507087f79a124426a536cb6051cac49","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85128850882"
"Jimenez É.A.; Gonzalez J.G.; Amaral M.T.; Lucena Frédou F.","Jimenez, Érica Antunes (55799090400); Gonzalez, Júlio Guazzelli (57196457216); Amaral, Marilu Teixeira (57210959893); Lucena Frédou, Flávia (54920925700)","55799090400; 57196457216; 57210959893; 54920925700","Sustainability indicators for the integrated assessment of coastal small-scale fisheries in the Brazilian Amazon","2021","Ecological Economics","181","","106910","","","","26","10.1016/j.ecolecon.2020.106910","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097149174&doi=10.1016%2fj.ecolecon.2020.106910&partnerID=40&md5=d58e441f36c25eddfe060a29a4a98427","Article","Final","","Scopus","2-s2.0-85097149174"
"de Moura I.E.M.O.; da Silva E.A.","de Moura, I.E.M.O. (58560519200); da Silva, E.A. (53663381500)","58560519200; 53663381500","Eco-efficiency assessment of liquid dishwashing detergents","2024","International Journal of Environmental Science and Technology","21","3","","3235","3256","21","4","10.1007/s13762-023-05175-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169589860&doi=10.1007%2fs13762-023-05175-2&partnerID=40&md5=4b6a6544394c0c563baefe77abfa518b","Article","Final","","Scopus","2-s2.0-85169589860"
"de Almeida L.R.; de Souza Joaquim J.; Botelho L.M.; Vidigal T.H.D.A.; Ecco R.; de Souza Trindade G.; Paglia A.P.; Pereira C.A.J.; dos Santos Lima W.","de Almeida, Lara Ribeiro (55948647600); de Souza Joaquim, Jéssica (57900035500); Botelho, Lucas Moreira (56047503100); Vidigal, Teofania Heloisa Dutra Amorim (35493765500); Ecco, Roselene (24179251700); de Souza Trindade, Giliane (6603042295); Paglia, Adriano Pereira (9537079500); Pereira, Cíntia Aparecida de Jesus (7202964377); dos Santos Lima, Walter (7007180020)","55948647600; 57900035500; 56047503100; 35493765500; 24179251700; 6603042295; 9537079500; 7202964377; 7007180020","Parasitism in Rattus rattus and sympatric Achatina fulica by Angiostrongylus cantonensis in an urban park in southeast Brazil","2023","Parasitology Research","122","1","","347","352","5","5","10.1007/s00436-022-07656-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138546008&doi=10.1007%2fs00436-022-07656-8&partnerID=40&md5=c6db5f0db0a6b6cfc38fedb2826f4daa","Article","Final","","Scopus","2-s2.0-85138546008"
"de Castro D.N.; Aquino R.; Amorim L.D.A.F.","de Castro, Daiane Nascimento (57969983900); Aquino, Rosana (24068688500); Amorim, Leila Denise Alves Ferreira (21734349500)","57969983900; 24068688500; 21734349500","Perceived neighborhood characteristics and practice of physical activity among adolescents and young adults: a model with distal outcomes; [Características percebidas da vizinhança e a prática de atividade física entre adolescentes e adultos jovens: um modelo com respostas distais]; [Características percibidas del vecindario y la práctica de actividad física entre adolescentes y adultos jóvenes: un modelo con respuestas distales]","2022","Cadernos de Saude Publica","38","9","e00062622","","","","0","10.1590/0102-311XPT062622","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139810979&doi=10.1590%2f0102-311XPT062622&partnerID=40&md5=e4dab65d5b0b951ada137c68f7d6f43f","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85139810979"
"Fernandez L.I.C.; Caldas L.R.; Mendoza Reales O.A.","Fernandez, Letícia Ikeda Castrillon (57580923900); Caldas, Lucas Rosse (57218205013); Mendoza Reales, Oscar Aurelio (57056458100)","57580923900; 57218205013; 57056458100","Environmental evaluation of 3D printed concrete walls considering the life cycle perspective in the context of social housing","2023","Journal of Building Engineering","74","","106915","","","","9","10.1016/j.jobe.2023.106915","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160328609&doi=10.1016%2fj.jobe.2023.106915&partnerID=40&md5=468315bdfc113eda050baf1423567091","Article","Final","","Scopus","2-s2.0-85160328609"
"Alves E.C.; dos Santos Alves I.H.; Soares B.B.; Borges A.F.; Jalal A.; Jani A.D.; Abreu-Junior C.H.; Capra G.F.; Rodrigues Nogueira T.A.","Alves, Edmar Costa (57204634361); dos Santos Alves, Israel Henrique (58477428600); Soares, Bruna Borges (57204633731); Borges, Aurélio Ferreira (55806498600); Jalal, Arshad (57204218398); Jani, Arun Dilipkumar (57192684034); Abreu-Junior, Cassio Hamilton (57216939555); Capra, Gian Franco (26434631800); Rodrigues Nogueira, Thiago Assis (57216348723)","57204634361; 58477428600; 57204633731; 55806498600; 57204218398; 57192684034; 57216939555; 26434631800; 57216348723","Resource recovery of biological residues from the Brazilian poultry industry in mitigating environmental impacts: A life cycle assessment (LCA) approach","2023","Journal of Cleaner Production","416","","137895","","","","9","10.1016/j.jclepro.2023.137895","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164221539&doi=10.1016%2fj.jclepro.2023.137895&partnerID=40&md5=c7fb0f4a520eacdf2fa6b735f0fa5a7e","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85164221539"
"Martins Vaz I.C.; Ghisi E.; Souza J.C.","Martins Vaz, Igor Catão (57212496392); Ghisi, Enedir (8859872400); Souza, João Carlos (8641479300)","57212496392; 8859872400; 8641479300","Potential use of rainwater as a tool for fire stations and firefighting: Literature review, environmental and cost assessments","2023","Science of the Total Environment","898","","165510","","","","2","10.1016/j.scitotenv.2023.165510","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165335710&doi=10.1016%2fj.scitotenv.2023.165510&partnerID=40&md5=b034f2b8a5e08dc20b4cc095146d77fd","Article","Final","","Scopus","2-s2.0-85165335710"
"Gheler-Costa C.; Sabino-Santos G., Jr.; Rosalino L.M.; Amorim L.S.; Maia F.G.M.; de Andrade Moral R.; Ferreira I.E.P.; Figueiredo L.-T.M.; Piña C.I.; Verdade L.M.","Gheler-Costa, Carla (33567698100); Sabino-Santos, Gilberto (55969471400); Rosalino, Luís Miguel (6506527252); Amorim, Luana Santos (55969323500); Maia, Felipe Gonçalves M. (56289777000); de Andrade Moral, Rafael (55628122300); Ferreira, Iuri E. P. (55628184100); Figueiredo, Luiz-Thadeu M. (35594394500); Piña, Carlos I. (7007115564); Verdade, Luciano M. (6603317627)","33567698100; 55969471400; 6506527252; 55969323500; 56289777000; 55628122300; 55628184100; 35594394500; 7007115564; 6603317627","The influence of sugarcane pre-harvest fire on hantavirus prevalence in Neotropical small mammals","2022","Ecosphere","13","9","e4241","","","","1","10.1002/ecs2.4241","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139106020&doi=10.1002%2fecs2.4241&partnerID=40&md5=cd9fb7a617ba68de7189ecaabd43b736","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85139106020"
"Marques M.L.V.; Uhr D.D.A.P.; Benevit B.; Uhr J.G.Z.","Marques, Maria Laura Victória (57538901300); Uhr, Daniel de Abreu Pereira (56119418200); Benevit, Bruno (58284012600); Uhr, Júlia Gallego Ziero (56119273900)","57538901300; 56119418200; 58284012600; 56119273900","An analysis of the relationship between rental housing and adoption of self-generating energy sources in Brazil using matching methodology","2024","Journal of International Development","36","2","","1570","1592","22","0","10.1002/jid.3876","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180822743&doi=10.1002%2fjid.3876&partnerID=40&md5=6b8be4823ab685e54076ea6cb6d8c757","Article","Final","","Scopus","2-s2.0-85180822743"
"Orlandini L.C.; Punhagui K.R.G.","Orlandini, Luana C. (58731087800); Punhagui, Katia R.G. (55308359400)","58731087800; 55308359400","Strategies to reduce CO2 emissions and increase temporary carbon stock in Brazilian housing using planted wood","2024","Environmental Development","49","","100946","","","","3","10.1016/j.envdev.2023.100946","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178175110&doi=10.1016%2fj.envdev.2023.100946&partnerID=40&md5=7311a82bf52454a10d7214f014c168c0","Article","Final","","Scopus","2-s2.0-85178175110"
